capability_id,domain,business_capability,legacy_behavior_meaning,legacy_owner_path,legacy_stage_chain,pro_owner_path,pro_stage_chain,migration_status,parity_criticality,ambiguity_notes
AP-INTAKE-001,annuity_performance,source_intake,"Discover the monthly annuity performance workbook and preserve row anchors during read.","E:/Projects/WorkDataHub/docs/domains/annuity_performance-capability-map.md","discover_files_op -> read_data_op","src/work_data_hub_pro/capabilities/source_intake/annuity_performance/service.py","AnnuityPerformanceIntakeService.read_batch -> source_intake trace events",partial,critical,"Pro intake preserves anchors but replay currently receives an explicit workbook path instead of legacy directory discovery."
AP-FACT-002,annuity_performance,canonical_fact_processing,"Normalize workbook rows into canonical annuity performance facts with governed cleansing and period identity.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annuity_performance/pipeline_builder.py","process_domain_op_v2 -> bronze_to_silver pipeline","src/work_data_hub_pro/capabilities/fact_processing/annuity_performance/service.py","CleansingManifest.load -> AnnuityPerformanceProcessor.process",existing,critical,"Legacy pipeline carries more hidden field-level behavior; Phase 1 treats Pro processor output as the canonical deep-sample comparison point."
AP-IDENTITY-003,annuity_performance,identity_resolution,"Resolve or preserve company identity so downstream publication and projections stay semantically stable.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annuity_performance/pipeline_builder.py","CompanyIdResolutionStep.apply","src/work_data_hub_pro/capabilities/identity_resolution/service.py","CacheFirstIdentityResolutionService.resolve",partial,critical,"Pro path is explicit and replay-safe but current cache-first bridge does not yet prove full legacy override and queue semantics."
AP-REFERENCE-004,annuity_performance,reference_derivation,"Backfill reference and customer master candidates from normalized annuity facts before fact publication.","E:/Projects/WorkDataHub/src/work_data_hub/domain/reference_backfill/generic_service.py","generic_backfill_refs_op -> GenericBackfillService.derive_candidates","src/work_data_hub_pro/capabilities/reference_derivation/service.py","ReferenceDerivationService.derive -> publication company_reference",partial,supporting,"Current Pro derivation proves explicit candidate generation but not the full legacy breadth of reference and customer master semantics."
AP-PUBLICATION-005,annuity_performance,fact_publication,"Publish normalized annuity facts with explicit refresh scope so monthly downstream state uses the right batch.","E:/Projects/WorkDataHub/src/work_data_hub/orchestration/ops/loading.py","load_op -> business fact refresh","src/work_data_hub_pro/apps/orchestration/replay/annuity_performance_slice.py","PublicationService.execute -> publication-facts",existing,critical,"Pro publication is explicit and traceable; production sink parity is still deferred beyond the validation runtime."
AP-PROJECTION-006,annuity_performance,projection_consequences,"Refresh contract state and monthly snapshot outputs from annuity facts and accepted cross-domain fixtures.","E:/Projects/WorkDataHub/src/work_data_hub/cli/etl/hooks.py","run_post_etl_hooks -> sync_contract_status -> refresh_monthly_snapshot","src/work_data_hub_pro/apps/orchestration/replay/annuity_performance_slice.py","ContractStateProjection.run -> MonthlySnapshotProjection.run",partial,critical,"Phase 1 uses a validation bridge with fixture-backed annual award and annual loss dependencies instead of full legacy runtime closure."
AP-GOVERNANCE-007,annuity_performance,replay_evidence_and_adjudication,"Open reviewable evidence and compatibility cases when replay output diverges from the accepted monthly snapshot baseline.","E:/Projects/WorkDataHub/docs/guides/validation/legacy-parity-validation.md","validation report -> human adjudication","src/work_data_hub_pro/governance/adjudication/service.py","FileEvidenceIndex.index_trace_events -> AdjudicationService.create_case",existing,supporting,"Evidence minimum is in place for replay parity but the broader evidence directory standard is intentionally deferred after Phase 1."
AA-BREADTH-001,annual_award,event_domain_intake_and_processing,"Merge annual award sheets and normalize event rows so downstream status logic can consume consistent fact inputs.","E:/Projects/WorkDataHub/docs/domains/annual_award-capability-map.md","discover_files_op -> read_data_op -> AnnualAwardService.process","src/work_data_hub_pro/apps/orchestration/replay/annual_award_slice.py","AnnualAwardIntakeService.read_batch -> AnnualAwardProcessor.process",existing,breadth,"Registered for breadth visibility only in Phase 1; not decomposed to the same stage depth as annuity_performance."
AA-BREADTH-002,annual_award,identity_and_plan_code_enrichment,"Preserve or resolve company identity and fill missing plan codes before award fact publication.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annual_award/pipeline_builder.py","CompanyIdResolutionStep.apply -> PlanCodeEnrichmentStep.apply","src/work_data_hub_pro/apps/orchestration/replay/annual_award_slice.py","CacheFirstIdentityResolutionService.resolve -> AnnualAwardPlanCodeEnrichmentService.enrich",partial,breadth,"Current Pro breadth row captures the parity-sensitive enrichment chain but Phase 1 does not deep-map each annual_award sub-stage."
AL-BREADTH-001,annual_loss,event_domain_intake_and_processing,"Merge annual loss sheets and normalize event rows so downstream reported-loss logic consumes a stable fact shape.","E:/Projects/WorkDataHub/docs/domains/annual_loss-capability-map.md","discover_files_op -> read_data_op -> AnnualLossService.process","src/work_data_hub_pro/apps/orchestration/replay/annual_loss_slice.py","AnnualLossIntakeService.read_batch -> AnnualLossProcessor.process",existing,breadth,"Registered for breadth visibility only in Phase 1; not decomposed to the same stage depth as annuity_performance."
AL-BREADTH-002,annual_loss,identity_and_plan_code_enrichment,"Preserve or resolve company identity and fill missing plan codes before loss fact publication.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annual_loss/pipeline_builder.py","CompanyIdResolutionStep.apply -> PlanCodeEnrichmentStep.apply","src/work_data_hub_pro/apps/orchestration/replay/annual_loss_slice.py","CacheFirstIdentityResolutionService.resolve -> AnnualLossPlanCodeEnrichmentService.enrich",partial,breadth,"Current Pro breadth row captures the parity-sensitive enrichment chain but Phase 1 does not deep-map each annual_loss sub-stage."
