rule_id,domain,legacy_rule_meaning,legacy_path,pro_owner_path,class,proof_or_equivalence_note,parity_criticality
AP-RULE-001,annuity_performance,"Source recognition must route the correct monthly workbook into annuity performance processing with preserved row anchors.","E:/Projects/WorkDataHub/src/work_data_hub/cli/etl/ops/discover_files_op.py","src/work_data_hub_pro/capabilities/source_intake/annuity_performance/service.py",must-keep,"Phase 1 parity depends on source recognition remaining explicit and reviewable; changing the routing contract would create block-level drift.",critical
AP-RULE-002,annuity_performance,"Workbook rows must normalize into the same canonical annuity performance fact meaning after governed cleansing.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annuity_performance/pipeline_builder.py","src/work_data_hub_pro/capabilities/fact_processing/annuity_performance/service.py",must-keep,"Legacy cleansing behavior is preserved as an explicit capability contract; semantic output drift here is a block condition.",critical
AP-RULE-003,annuity_performance,"Company identity resolution must preserve legacy business semantics even when the implementation becomes cache-first and replay-safe.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annuity_performance/pipeline_builder.py","src/work_data_hub_pro/capabilities/identity_resolution/service.py",replace-with-equivalent,"The legacy rule is retained by equivalence rather than by structure: cache hits, fallback levels, and evidence must still explain the same downstream identity decisions.",critical
AP-RULE-004,annuity_performance,"Reference derivation must emit reviewable candidate payloads before publication instead of hiding the behavior inside a shared generic side effect.","E:/Projects/WorkDataHub/src/work_data_hub/domain/reference_backfill/generic_service.py","src/work_data_hub_pro/capabilities/reference_derivation/service.py",replace-with-equivalent,"Equivalent behavior is acceptable because the rebuild makes candidate generation explicit and traceable while preserving the same business intent.",supporting
AP-RULE-005,annuity_performance,"Publication and projection refresh must preserve the monthly contract-state and snapshot consequences that legacy operators expect.","E:/Projects/WorkDataHub/src/work_data_hub/cli/etl/hooks.py","src/work_data_hub_pro/apps/orchestration/replay/annuity_performance_slice.py",replace-with-equivalent,"The hook chain is replaced by explicit orchestration and projection services; parity proof comes from the same monthly business outcome, not from retaining hook-shaped control flow.",critical
AP-RULE-006,annuity_performance,"Replay mismatches must produce attributable evidence and a human-reviewable compatibility case rather than informal notes.","E:/Projects/WorkDataHub/docs/guides/validation/legacy-parity-validation.md","src/work_data_hub_pro/governance/adjudication/service.py",replace-with-equivalent,"Phase 1 accepts an explicit adjudication case flow as equivalent proof because it makes the legacy review expectation queryable and attributable.",supporting
AP-RULE-007,annuity_performance,"Implicit post-ETL hook ownership of snapshot refresh sequencing may retire once explicit replay orchestration proves the same business consequence and evidence chain.","E:/Projects/WorkDataHub/src/work_data_hub/cli/etl/hooks.py","src/work_data_hub_pro/apps/orchestration/replay/annuity_performance_slice.py",retire-with-proof,"Retirement is allowed only because the architecture blueprint and replay slice already replace hidden hook ownership with explicit publication and projection boundaries.",supporting
AA-RULE-001,annual_award,"Multi-sheet annual award intake and event normalization must remain visible so downstream status logic consumes the same award facts.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annual_award/pipeline_builder.py","src/work_data_hub_pro/apps/orchestration/replay/annual_award_slice.py",must-keep,"Phase 1 registers this breadth rule now because annual_award stays a required cross-domain fixture for annuity performance projections.",breadth
AA-RULE-002,annual_award,"Conditional plan-code enrichment may move to an explicit service boundary if the resulting award fact semantics stay equivalent.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annual_award/pipeline_builder.py","src/work_data_hub_pro/apps/orchestration/replay/annual_award_slice.py",replace-with-equivalent,"Breadth coverage is sufficient in Phase 1: the chain is preserved conceptually, while deeper sub-stage proof is deferred to later executable slices.",breadth
AL-RULE-001,annual_loss,"Multi-sheet annual loss intake and event normalization must preserve the reported-loss fact shape consumed by downstream projections.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annual_loss/pipeline_builder.py","src/work_data_hub_pro/apps/orchestration/replay/annual_loss_slice.py",must-keep,"Phase 1 keeps this breadth rule explicit because annual_loss remains part of the accepted first-wave coverage set.",breadth
AL-RULE-002,annual_loss,"Conditional plan-code and identity enrichment may be rebuilt with a clearer service boundary if final loss fact semantics remain equivalent.","E:/Projects/WorkDataHub/src/work_data_hub/domain/annual_loss/pipeline_builder.py","src/work_data_hub_pro/apps/orchestration/replay/annual_loss_slice.py",replace-with-equivalent,"The breadth row records the parity-sensitive enrichment chain without pretending Phase 1 already deep-mapped each annual_loss sub-stage.",breadth
